"","Valor_credito","Casa_propia","Cuentas_morosas","salario","Sexo","Hijos","carro","Estado_civil","Devuelve_credito"
"1",79566,"No","No",9604,"Femenino",0,"No","Casado","No"
"2",24032,"Si","Si",8951,"Masculino",6,"No","Soltero","Si"
"3",67493,"Si","No",8737,"Masculino",6,"No","Casado","No"
"4",76051,"No","Si",9557,"Masculino",0,"No","Soltero","No"
"5",74244,"Si","No",5729,"Femenino",0,"Si","Casado","No"
"6",36031,"Si","Si",4245,"Femenino",5,"Si","Casado","Si"
"7",29006,"Si","Si",5616,"Masculino",0,"Si","Soltero","Si"
"8",38084,"No","No",7746,"Femenino",6,"Si","Casado","No"
"9",12293,"Si","No",3335,"Masculino",0,"Si","Casado","Si"
"10",77930,"No","Si",2447,"Femenino",1,"Si","Casado","No"
"11",95589,"Si","Si",1672,"Masculino",3,"No","Casado","No"
"12",98641,"Si","Si",7115,"Femenino",6,"Si","Soltero","No"
"13",34904,"Si","No",2952,"Masculino",0,"Si","Soltero","Si"
"14",9622,"Si","Si",10545,"Femenino",6,"Si","Casado","No"
"15",43947,"No","Si",8565,"Femenino",0,"No","Soltero","Si"
"16",36361,"No","No",6579,"Femenino",0,"No","Casado","No"
"17",33839,"No","No",4289,"Masculino",5,"No","Soltero","Si"
"18",50240,"Si","No",4072,"Femenino",0,"No","Casado","Si"
"19",89988,"Si","Si",8591,"Femenino",0,"No","Casado","No"
"20",17828,"Si","Si",2797,"Femenino",0,"No","Casado","Si"
"21",106848,"Si","No",1437,"Masculino",6,"No","Soltero","Si"
"22",11387,"Si","No",4699,"Masculino",0,"No","Casado","Si"
"23",16862,"No","No",7554,"Masculino",4,"Si","Soltero","Si"
"24",11748,"Si","Si",9426,"Femenino",2,"No","Soltero","Si"
"25",94464,"Si","No",10566,"Femenino",0,"No","Soltero","No"
"26",87016,"Si","No",6255,"Masculino",6,"Si","Casado","Si"
"27",102724,"Si","No",6429,"Masculino",0,"No","Soltero","Si"
"28",101508,"Si","Si",5400,"Masculino",0,"Si","Soltero","Si"
"29",28731,"No","No",2498,"Femenino",1,"No","Soltero","No"
"30",64220,"No","No",4217,"Femenino",4,"No","Soltero","Si"
"31",40584,"Si","No",6715,"Femenino",1,"Si","Soltero","No"
"32",93681,"No","No",9974,"Masculino",4,"No","Divorciado","No"
"33",18072,"Si","No",8915,"Femenino",0,"Si","Casado","No"
"34",54290,"No","Si",8561,"Femenino",6,"No","Casado","Si"
"35",80387,"Si","No",8613,"Femenino",0,"No","Viudo","Si"
"36",17922,"No","Si",5105,"Femenino",0,"Si","Divorciado","No"
"37",39088,"No","No",3091,"Femenino",0,"No","Divorciado","No"
"38",107467,"No","Si",1523,"Femenino",0,"No","Soltero","No"
"39",104508,"Si","No",2423,"Femenino",1,"No","Casado","No"
"40",62187,"No","Si",8254,"Masculino",0,"No","Casado","No"
"41",86403,"Si","Si",10595,"Masculino",5,"No","Soltero","No"
"42",91968,"No","Si",8204,"Masculino",0,"No","Casado","No"
"43",26877,"No","No",2412,"Femenino",0,"Si","Soltero","Si"
"44",73877,"No","Si",1630,"Masculino",2,"Si","Soltero","No"
"45",87294,"Si","No",6824,"Masculino",0,"No","Soltero","No"
"46",19652,"Si","No",2345,"Masculino",0,"No","Soltero","Si"
"47",68446,"Si","Si",3618,"Femenino",5,"No","Soltero","No"
"48",35937,"No","Si",1237,"Masculino",0,"No","Soltero","No"
"49",79150,"No","Si",4574,"Femenino",1,"No","Soltero","Si"
"50",39753,"Si","Si",2751,"Masculino",2,"Si","Divorciado","No"
"51",43542,"Si","Si",1558,"Femenino",0,"Si","Casado","No"
"52",58539,"No","No",1593,"Femenino",0,"Si","Casado","No"
"53",25275,"No","No",5802,"Femenino",0,"Si","Soltero","Si"
"54",31516,"Si","No",9130,"Masculino",6,"No","Soltero","No"
"55",19683,"No","No",10572,"Masculino",0,"Si","Casado","No"
"56",79505,"Si","No",6506,"Femenino",6,"Si","Soltero","No"
"57",96374,"No","Si",7983,"Femenino",0,"Si","Casado","Si"
"58",19139,"No","Si",6872,"Masculino",1,"Si","Soltero","Si"
"59",75629,"Si","No",8591,"Femenino",6,"Si","Soltero","No"
"60",100768,"Si","Si",2512,"Femenino",0,"Si","Casado","No"
"61",87777,"Si","Si",4730,"Femenino",0,"Si","Soltero","No"
"62",60469,"No","No",8971,"Femenino",6,"No","Soltero","No"
"63",63275,"No","Si",10172,"Femenino",1,"No","Separado","Si"
"64",57608,"No","Si",8826,"Masculino",2,"No","Soltero","Si"
"65",39624,"Si","No",7847,"Masculino",0,"Si","Casado","No"
"66",95783,"Si","Si",5765,"Masculino",0,"Si","Casado","Si"
"67",54183,"Si","No",4225,"Masculino",0,"No","Soltero","Si"
"68",45383,"Si","Si",2697,"Femenino",6,"Si","Soltero","Si"
"69",61661,"Si","No",1586,"Femenino",1,"No","Soltero","Si"
"70",72657,"No","Si",1531,"Masculino",6,"No","Casado","Si"
"71",76300,"No","Si",7675,"Masculino",6,"No","Separado","No"
"72",69764,"Si","Si",8000,"Femenino",0,"Si","Casado","No"
"73",80400,"Si","No",9991,"Femenino",3,"No","Casado","No"
"74",43990,"Si","No",10768,"Femenino",4,"Si","Soltero","Si"
"75",11145,"No","Si",9455,"Femenino",0,"Si","Divorciado","Si"
"76",74055,"Si","Si",10038,"Masculino",1,"Si","Soltero","No"
"77",54033,"No","No",5268,"Masculino",0,"No","Soltero","No"
"78",19734,"Si","No",8704,"Masculino",4,"Si","Casado","Si"
"79",103988,"No","Si",7391,"Femenino",3,"No","Soltero","Si"
"80",25676,"No","Si",3685,"Femenino",0,"No","Casado","No"
"81",72190,"Si","Si",4219,"Femenino",0,"Si","Casado","No"
"82",104152,"Si","Si",8958,"Femenino",1,"Si","Casado","Si"
"83",42101,"No","No",4908,"Masculino",1,"Si","Soltero","No"
"84",59846,"No","No",5323,"Femenino",5,"Si","Casado","Si"
"85",10100,"No","No",8733,"Masculino",0,"Si","Casado","Si"
"86",89914,"Si","Si",10359,"Masculino",0,"No","Casado","No"
"87",72426,"No","No",6760,"Masculino",0,"Si","Casado","Si"
"88",104729,"No","No",3854,"Masculino",0,"Si","Casado","Si"
"89",79034,"No","No",6314,"Femenino",3,"Si","Casado","No"
"90",46924,"No","Si",10459,"Femenino",0,"Si","Casado","Si"
"91",76466,"Si","No",9983,"Femenino",4,"Si","Casado","Si"
"92",13239,"No","Si",4237,"Masculino",0,"Si","Casado","Si"
"93",24827,"Si","Si",4217,"Masculino",1,"Si","Casado","Si"
"94",106812,"Si","Si",10640,"Masculino",0,"Si","Soltero","Si"
"95",17095,"No","Si",8857,"Femenino",6,"No","Casado","Si"
"96",71619,"Si","Si",8084,"Masculino",0,"No","Soltero","Si"
"97",45557,"Si","No",7007,"Masculino",0,"No","Casado","Si"
"98",31010,"Si","Si",4378,"Masculino",6,"No","Casado","No"
"99",75727,"No","No",9319,"Femenino",3,"Si","Viudo","Si"
"100",73478,"Si","No",6700,"Femenino",1,"Si","Casado","Si"
"101",52146,"Si","No",2433,"Masculino",1,"No","Soltero","No"
"102",53675,"No","No",3695,"Masculino",4,"No","Casado","Si"
"103",106709,"No","Si",8199,"Femenino",6,"No","Casado","Si"
"104",39255,"Si","Si",3649,"Masculino",0,"Si","Separado","Si"
"105",56535,"Si","No",1841,"Masculino",0,"No","Soltero","Si"
"106",71851,"Si","Si",4553,"Femenino",6,"Si","Soltero","Si"
"107",68225,"Si","Si",8031,"Femenino",0,"Si","Casado","No"
"108",98535,"No","No",9158,"Masculino",0,"No","Casado","No"
"109",60267,"No","No",3148,"Masculino",0,"No","Casado","No"
"110",26033,"No","Si",6266,"Masculino",0,"No","Soltero","No"
"111",28722,"Si","Si",8467,"Masculino",3,"No","Casado","No"
"112",13846,"No","No",7536,"Masculino",6,"No","Casado","Si"
"113",92131,"No","Si",2125,"Masculino",0,"No","Soltero","Si"
"114",103591,"Si","Si",1745,"Femenino",4,"No","Soltero","Si"
"115",66852,"No","Si",10876,"Masculino",0,"Si","Casado","Si"
"116",26699,"No","Si",6739,"Femenino",1,"No","Casado","No"
"117",102386,"No","Si",10196,"Femenino",6,"Si","Casado","No"
"118",29495,"No","No",3743,"Femenino",3,"Si","Soltero","Si"
"119",60870,"Si","Si",5497,"Masculino",6,"Si","Soltero","No"
"120",105597,"Si","No",6980,"Femenino",1,"Si","Casado","No"
"121",105692,"Si","Si",9995,"Masculino",3,"No","Soltero","Si"
"122",19150,"No","Si",5374,"Masculino",0,"Si","Casado","Si"
"123",103188,"No","Si",5466,"Femenino",0,"Si","Casado","No"
"124",42846,"Si","No",4637,"Masculino",0,"No","Soltero","Si"
"125",56911,"No","Si",10939,"Masculino",3,"No","Divorciado","No"
"126",12508,"No","Si",9914,"Masculino",0,"Si","Casado","Si"
"127",87630,"No","No",8062,"Femenino",0,"No","Soltero","Si"
"128",66977,"Si","No",2496,"Masculino",4,"No","Casado","No"
"129",30005,"Si","Si",9179,"Masculino",0,"Si","Soltero","No"
"130",22494,"No","No",2775,"Femenino",0,"No","Soltero","Si"
"131",104812,"Si","No",1241,"Femenino",1,"Si","Casado","Si"
"132",101907,"Si","No",4302,"Masculino",0,"Si","Viudo","Si"
"133",50316,"Si","Si",8677,"Masculino",0,"No","Casado","Si"
"134",29370,"Si","Si",10714,"Femenino",0,"Si","Soltero","No"
"135",56397,"No","No",1931,"Femenino",0,"Si","Divorciado","No"
"136",95218,"No","No",10129,"Femenino",0,"No","Casado","Si"
"137",13174,"No","No",7075,"Femenino",1,"Si","Viudo","No"
"138",35360,"Si","Si",8541,"Masculino",0,"No","Soltero","Si"
"139",78551,"Si","Si",2758,"Masculino",4,"No","Soltero","Si"
"140",69415,"Si","No",2498,"Femenino",4,"No","Casado","Si"
"141",44818,"No","Si",6886,"Femenino",0,"No","Viudo","No"
"142",69465,"No","No",5017,"Femenino",6,"No","Viudo","Si"
"143",71766,"Si","No",1915,"Masculino",0,"No","Casado","No"
"144",61743,"Si","No",10040,"Masculino",0,"No","Casado","No"
"145",69378,"Si","No",5355,"Masculino",1,"Si","Casado","Si"
"146",98789,"No","No",7622,"Femenino",0,"Si","Soltero","No"
"147",68298,"No","No",9420,"Masculino",3,"Si","Soltero","Si"
"148",28724,"No","Si",10881,"Femenino",2,"Si","Casado","Si"
"149",41257,"No","No",2552,"Femenino",0,"No","Casado","No"
"150",88503,"No","No",3575,"Masculino",1,"No","Soltero","No"
"151",58126,"Si","No",2490,"Femenino",1,"Si","Soltero","Si"
"152",22825,"No","No",8185,"Femenino",6,"No","Viudo","No"
"153",66362,"No","No",9072,"Masculino",0,"Si","Soltero","Si"
"154",36873,"Si","No",2814,"Femenino",0,"Si","Casado","No"
"155",97322,"No","No",1309,"Masculino",2,"Si","Soltero","Si"
"156",95543,"Si","Si",10123,"Masculino",6,"No","Casado","No"
"157",25190,"Si","No",4328,"Masculino",0,"No","Soltero","No"
"158",93380,"Si","No",7279,"Masculino",0,"No","Soltero","Si"
"159",89443,"No","Si",4732,"Femenino",3,"Si","Viudo","Si"
"160",58932,"No","Si",4769,"Femenino",0,"Si","Soltero","No"
"161",73195,"No","No",7946,"Masculino",1,"No","Casado","Si"
"162",15779,"Si","No",10287,"Femenino",6,"No","Soltero","Si"
"163",19230,"No","No",2716,"Masculino",0,"Si","Soltero","Si"
"164",99542,"No","Si",4400,"Femenino",0,"No","Soltero","Si"
"165",94540,"Si","Si",10785,"Femenino",0,"No","Soltero","Si"
"166",55673,"Si","No",8627,"Masculino",4,"No","Casado","Si"
"167",45957,"No","No",8309,"Femenino",3,"Si","Separado","Si"
